scale_id,states,atomic_propositions,agents,universal_agents,bound_k,status,completed_repetitions,total_repetitions,median_wall_seconds,min_wall_seconds,max_wall_seconds,median_peak_rss_mb,median_universal_profiles_checked,raw_domain_size_per_universal_agent,raw_profile_space_upper_bound
S18-P9,18,9,2,1,3,completed,3,3,0.1620645000366494,0.15461359999608248,0.17610610008705407,33.8828125,31,2522,2522
S18-P9,18,9,2,1,4,completed,3,3,0.1756176999770105,0.1695359000004828,0.2423228999832645,33.82421875,29,82010,82010
S18-P9,18,9,3,2,1,completed,3,3,0.023327299975790083,0.022075599990785122,0.025358300074003637,33.6328125,4,2,4
S18-P9,18,9,3,2,2,completed,3,3,13.756184399942867,13.402180699980818,13.863982500042766,34.0546875,1217,74,5476
S18-P9,18,9,3,2,3,timeout,0,3,,,,,,2522,6360484
S18-P9,18,9,3,2,4,timeout,0,3,,,,,,82010,6725640100
S18-P9,18,9,4,3,1,completed,3,3,0.036925300024449825,0.0368404999608174,0.04164599999785423,33.76171875,8,2,8
S18-P9,18,9,4,3,2,timeout,0,3,,,,,,74,405224
S18-P9,18,9,4,3,3,timeout,0,3,,,,,,2522,16041140648
S18-P9,18,9,4,3,4,timeout,0,3,,,,,,82010,551569744601000
S18-P9,18,9,5,4,1,completed,3,3,0.08048290002625436,0.08031170000322163,0.09259150002617389,33.8203125,16,2,16
S18-P9,18,9,5,4,2,timeout,0,3,,,,,,74,29986576
S18-P9,18,9,5,4,3,timeout,0,3,,,,,,2522,40455756714256
S18-P9,18,9,5,4,4,timeout,0,3,,,,,,82010,45234234754728010000
